,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
0,000998.SZ,000552.SZ,000048.SZ,000027.SZ,000628.SZ,000019.SZ,000557.SZ,000428.SZ,000839.SZ,000001.SZ,000002.SZ,000415.SZ,300149.SZ,000005.SZ,300736.SZ,000526.SZ,000150.SZ,000607.SZ,000009.SZ
1,002041.SZ,000937.SZ,000505.SZ,000037.SZ,600939.SH,000025.SZ,001213.SZ,000613.SZ,000917.SZ,002142.SZ,000006.SZ,600830.SH,300347.SZ,000035.SZ,,002607.SZ,000509.SZ,000719.SZ,000532.SZ
2,002772.SZ,000983.SZ,000529.SZ,000040.SZ,000010.SZ,000028.SZ,600125.SH,600258.SH,002238.SZ,002807.SZ,000007.SZ,603300.SH,300404.SZ,000546.SZ,,002621.SZ,000516.SZ,000793.SZ,000551.SZ
3,300087.SZ,002128.SZ,000639.SZ,000155.SZ,000065.SZ,000034.SZ,601006.SH,600754.SH,300288.SZ,002839.SZ,000011.SZ,000038.SZ,300759.SZ,000803.SZ,,002659.SZ,002044.SZ,300364.SZ,000571.SZ
4,300189.SZ,600121.SH,000702.SZ,000531.SZ,000090.SZ,000062.SZ,601333.SH,601007.SH,300310.SZ,002936.SZ,000014.SZ,000056.SZ,301047.SZ,000826.SZ,,003032.SZ,002173.SZ,300654.SZ,000609.SZ
5,300511.SZ,600123.SH,000876.SZ,000539.SZ,000498.SZ,000096.SZ,601816.SH,000721.SZ,300770.SZ,002948.SZ,000029.SZ,000058.SZ,600645.SH,000967.SZ,,300192.SZ,002219.SZ,300788.SZ,000833.SZ
6,300970.SZ,600188.SH,000895.SZ,000543.SZ,000711.SZ,000151.SZ,000088.SZ,002186.SZ,600037.SH,002958.SZ,000031.SZ,000061.SZ,600721.SH,002034.SZ,,300338.SZ,002524.SZ,301025.SZ,600212.SH
7,300972.SZ,600348.SH,000911.SZ,000591.SZ,000928.SZ,000159.SZ,000429.SZ,605108.SH,600050.SH,002966.SZ,000036.SZ,000524.SZ,603127.SH,002266.SZ,,600455.SH,300015.SZ,301052.SZ,600603.SH
8,600108.SH,600395.SH,000972.SZ,000600.SZ,002051.SZ,000411.SZ,000548.SZ,,600637.SH,600000.SH,000042.SZ,000785.SZ,603259.SH,002310.SZ,,600661.SH,300143.SZ,600229.SH,600620.SH
9,600313.SH,600397.SH,002100.SZ,000601.SZ,002060.SZ,000554.SZ,000755.SZ,,600831.SH,600015.SH,000069.SZ,000796.SZ,688131.SH,002549.SZ,,600730.SH,300244.SZ,600373.SH,600673.SH
10,600354.SH,600403.SH,002286.SZ,000690.SZ,002061.SZ,000626.SZ,000828.SZ,,600936.SH,600016.SH,000402.SZ,000861.SZ,688133.SH,002573.SZ,,603377.SH,301060.SZ,600551.SH,600766.SH
11,600359.SH,600508.SH,002311.SZ,000692.SZ,002062.SZ,000632.SZ,000885.SZ,,600959.SH,600036.SH,000502.SZ,000882.SZ,688179.SH,002616.SZ,,605098.SH,600763.SH,600757.SH,600770.SH
12,600371.SH,600758.SH,002330.SZ,000722.SZ,002116.SZ,000652.SZ,000900.SZ,,600996.SH,600139.SH,000514.SZ,002010.SZ,688202.SH,002717.SZ,,,600896.SH,600825.SH,600805.SH
13,600506.SH,600971.SH,002385.SZ,000767.SZ,002140.SZ,000701.SZ,001965.SZ,,601698.SH,600901.SH,000517.SZ,002027.SZ,688222.SH,002887.SZ,,,603882.SH,600880.SH,
14,600540.SH,600985.SH,002515.SZ,000791.SZ,002307.SZ,000705.SZ,002357.SZ,,601728.SH,600908.SH,000537.SZ,002103.SZ,688621.SH,003027.SZ,,,,601019.SH,
